T,SoC,R0
10,1.00,0.0162991117734688
10,0.99,0.0162991117734688
10,0.98,0.017950419851502
10,0.97,0.0177852177052044
10,0.96,0.0181041321636514
10,0.95,0.0177963373555416
10,0.94,0.01803792616861
10,0.93,0.0178270444189725
10,0.92,0.0185672828754802
10,0.91,0.0176493295437157
10,0.86,0.0181427550713941
10,0.809999999999999,0.0191360034302731
10,0.76,0.0188276492740014
10,0.71,0.0180119224543555
10,0.66,0.0186724874195845
10,0.61,0.0190624489631289
10,0.56,0.0200681308334441
10,0.51,0.0214726573381228
10,0.46,0.0217611983774056
10,0.41,0.0231843175735955
10,0.36,0.0241386584223532
10,0.31,0.022801707916953
10,0.26,0.02560576456697
10,0.209999999999999,0.0261729613208073
10,0.16,0.0269578042474725
10,0.15,0.0279115813279597
10,0.139999999999999,0.0281923885126482
10,0.13,0.0285050713343735
10,0.12,0.0285410014400014
10,0.109999999999999,0.0290868526423743
10,0.0999999999999999,0.0293923810389502
10,0.09,0.0299293027292643
10,0.0799999999999999,0.0305246936063391
10,0.0699999999999999,0.0301061788999231
10,0.06,0.0317684937704008
10,0.0499999999999999,0.0327578609622797
10,0.0399999999999999,0.0327578609622797
10,0.03,0.0327578609622797
10,0.0199999999999999,0.0327578609622797
10,0.00999999999999998,0.0327578609622797
10,0,0.0327578609622797
20,1,0.00869754843022971
20,0.99,0.00869754843022971
20,0.98,0.00948922489386947
20,0.97,0.0091788658123163
20,0.96,0.0106546249200014
20,0.95,0.00942344392259151
20,0.94,0.010094752511695
20,0.93,0.0100578550829323
20,0.92,0.0100188437086902
20,0.91,0.00986457326530393
20,0.86,0.00957114313350446
20,0.809999999999999,0.0113557563400581
20,0.76,0.0109398542745763
20,0.71,0.0103576151108351
20,0.66,0.00977382926576489
20,0.61,0.0105442608281659
20,0.56,0.0089998420058994
20,0.51,0.011501887775121
20,0.46,0.0118605218511962
20,0.41,0.0125739730704462
20,0.36,0.0100032807360159
20,0.31,0.0150102591226619
20,0.26,0.0168213198192
20,0.209999999999999,0.0173416022171768
20,0.16,0.0177742756514256
20,0.15,0.0157278139219624
20,0.139999999999999,0.0191622332354766
20,0.13,0.019482373806868
20,0.12,0.0199404915394286
20,0.109999999999999,0.0206379110370369
20,0.0999999999999999,0.019784207066965
20,0.09,0.021943411139123
20,0.0799999999999999,0.0219363104633937
20,0.0699999999999999,0.0228984465476167
20,0.06,0.0233244577932836
20,0.0499999999999999,0.0239909342667455
20,0.0399999999999999,0.0247806412960646
20,0.03,0.0259562302799784
20,0.0199999999999999,0.0267620537030969
20,0.00999999999999998,0.0267620537030969
20,0,0.0267620537030969
30,1,0.00568360696393627
30,0.99,0.00568360696393627
30,0.98,0.00635815479724558
30,0.97,0.0059454299860968
30,0.96,0.00686605591154188
30,0.95,0.00644913595424929
30,0.94,0.00660123946429462
30,0.93,0.00652985805319835
30,0.92,0.00657989065395695
30,0.91,0.00628372528365763
30,0.86,0.00674885462100558
30,0.809999999999999,0.00734413336955367
30,0.76,0.00709825162041433
30,0.71,0.00648208540718644
30,0.66,0.00640657483315081
30,0.61,0.00651805762930911
30,0.56,0.00674839734171884
30,0.51,0.00730964173413273
30,0.46,0.00759960886819062
30,0.41,0.00591913931797044
30,0.36,0.00634252891501074
30,0.31,0.00806196662273509
30,0.26,0.0105065695370009
30,0.209999999999999,0.0107583775010311
30,0.16,0.0113072663374078
30,0.15,0.0117108580151764
30,0.139999999999999,0.0101500114836951
30,0.13,0.0126894230046411
30,0.12,0.0120315556198486
30,0.109999999999999,0.0127090933434022
30,0.0999999999999999,0.0133388248099793
30,0.09,0.0139821162677903
30,0.0799999999999999,0.0144941960708648
30,0.0699999999999999,0.0153350098662308
30,0.06,0.0160454187651725
30,0.0499999999999999,0.0182744244815056
30,0.0399999999999999,0.0199582569570756
30,0.03,0.021961386929188
30,0.0199999999999999,0.021961386929188
30,0.00999999999999998,0.021961386929188
30,0,0.021961386929188
40,1,0.00346936212096172
40,0.99,0.00346936212096172
40,0.98,0.00390502988212255
40,0.97,0.00385980656312673
40,0.96,0.00401949777828845
40,0.95,0.00285056449327429
40,0.94,0.0044955595479188
40,0.93,0.00382360809910546
40,0.92,0.00424573680813121
40,0.91,0.003932012948514
40,0.86,0.00454697437208632
40,0.809999999999999,0.00461307071888124
40,0.76,0.00423698530823918
40,0.71,0.0040523100669105
40,0.66,0.00405721634648602
40,0.61,0.00414119003621545
40,0.56,0.00427818908076647
40,0.51,0.00476559014334837
40,0.46,0.0035255700996826
40,0.41,0.00330780112448042
40,0.36,0.00550474976098475
40,0.31,0.00598057319028227
40,0.26,0.00683459551658368
40,0.209999999999999,0.00634536252609829
40,0.16,0.00552788917899908
40,0.15,0.00726936457407579
40,0.139999999999999,0.00669001370854217
40,0.13,0.0070149274020855
40,0.12,0.00814536236289083
40,0.109999999999999,0.00801626330274771
40,0.0999999999999999,0.00832309977667528
40,0.09,0.00919925030367162
40,0.0799999999999999,0.00940778316088667
40,0.0699999999999999,0.0101919558403425
40,0.06,0.0103657215795012
40,0.0499999999999999,0.0124255633507378
40,0.0399999999999999,0.0152967507402708
40,0.03,0.0152967507402708
40,0.0199999999999999,0.0152967507402708
40,0.00999999999999998,0.0152967507402708
40,0,0.0152967507402708
